id,year,grid,midden,locx,locy,sex,taglft,tagrt,squirrel_id,Date,obs,width,length,no_quad,total_new,total_old,total_cones,area_quad,total_newopen,total_newclosed,experiment,new_squirrel_id,date,midden_area,midden_cones
3056,2023,KL,K13,K.0,13,M,M8253,M8254,100070,2023-09-21 00:00:00,SB,3.6,3.8,8,0,260,260,0.09,,,,,2023-09-21T06:00:00Z,10.7442468752771,3879.8669271834
3057,2023,KL,K17.,K.0,17.5,M,M9990,M9991,25987,2023-09-18 00:00:00,NKH,2.3,2.4,8,2,12,14,0.09,,,,,2023-09-18T06:00:00Z,4.33539786195391,84.2994028713261
3058,2023,KL,K6,K.0,6,M,M8366,M8367,100011,2023-09-18 00:00:00,NKH,4.4,5,8,15,311,326,0.09,,,,,2023-09-18T06:00:00Z,17.2787595947439,7823.43837206458
3059,2023,KL,L.1,L.5,1,M,M9615,M9616,100065,2023-09-19 00:00:00,NKH,3.2,7.7,8,0,50,50,0.09,,,,,2023-09-19T06:00:00Z,19.3522107461131,1343.90352403563
3060,2023,KL,M.15,M.5,15,M,M8668,M8669,100265,2023-09-17 00:00:00,NKH,4.4,7.6,8,0,533,533,0.09,,,,,2023-09-17T06:00:00Z,26.2637145840107,19442.4442684412
3061,2023,KL,O.8,O.5,8,M,M8483,M8484,100234,2023-09-18 00:00:00,NKH,3.8,6.1,8,2,2169,2171,0.09,,,,,2023-09-18T06:00:00Z,18.2055294275529,54894.7283155795
3062,2023,KL,O1,O.0,1,M,M6379,M7811,24033,2023-09-17 00:00:00,NKH,5.1,6.1,8,2,1702,1704,0.09,,,,,2023-09-17T06:00:00Z,24.4337368632946,57826.5105764639
3097,2023,KL,-612,-6,12,M,S6541,S6542,100272,2023-09-21 00:00:00,SB,3.8,4.1,8,0,241,241,0.09,,,,,2023-09-21T06:00:00Z,12.2365033857322,4095.82960550204
3098,2023,KL,-611,-6,11,M,M7635,M7636,25591,2023-09-21 00:00:00,SB,3.1,6.7,8,1,1793,1794,0.09,,,,,2023-09-21T06:00:00Z,16.312719853765,40645.8603022978
3099,2023,KL,-312,-3,12,M,S6939,S6940,100208,2023-09-22 00:00:00,NKH,2.7,2.8,8,0,1,1,0.09,,,,,2023-09-22T06:00:00Z,5.93761011528471,8.24668071567321
3101,2023,KL,B2,B.0,2,M,M9332,M9333,100222,2023-09-16 00:00:00,NKH,4,5.2,8,1,53,54,0.09,,,,,2023-09-16T06:00:00Z,16.3362817986669,1225.22113490002
3108,2023,KL,M14,M.0,14,M,M9687,-,100052,2023-09-17 00:00:00,NKH,4.1,5.7,8,0,78,78,0.09,,,,,2023-09-17T06:00:00Z,18.3547550785984,1988.43180018149
