midden,sex,taglft,tagrt,cone_category
-38,F,M9728,M9729,High cones
H4.,F,M7385,M7859,High cones
J.9,F,M7473,M7474,High cones
J11,F,M7475,M7476,High cones
N1.,F,M9498,-,High cones
