"term","estimate","std.error","zvalue","pvalue"
"(Intercept)",-0.9119,0.2143,-4.2552,0
"seasonlactation",0.6249,0.1087,5.7474,0
"seasonmating",0.1468,0.087,1.6885,0.0913
"F_M",1.5526,0.1278,12.1486,0
